priority,deadline_hours,task_bandwidth,task_skill_1,task_skill_2,task_skill_3,task_skill_4,task_skill_5,task_skill_6,task_skill_7,task_skill_8,task_skill_9,task_skill_10,emp_bandwidth,emp_skill_1,emp_skill_2,emp_skill_3,emp_skill_4,emp_skill_5,emp_skill_6,emp_skill_7,emp_skill_8,emp_skill_9,emp_skill_10,match_score,label_user_id,num_matching_skills
3,59,15,0,0,0,1,0,0,0,0,0,1,33,1,0,0,1,1,0,1,0,1,0,0.5,E099,1
1,31,37,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,0,0.67,E041,2
1,52,27,0,0,1,1,0,0,1,1,1,0,34,0,0,0,1,0,0,0,0,0,1,0.2,E086,1
2,25,22,1,0,1,0,1,0,0,0,1,0,18,1,1,0,0,0,1,0,0,1,0,0.5,E047,2
2,59,12,1,0,0,0,1,1,0,0,1,0,40,0,0,0,0,1,0,0,1,1,1,0.5,E088,2
2,20,5,0,0,1,0,0,1,0,1,1,1,34,0,1,0,1,0,0,0,1,1,1,0.6,E071,3
1,14,38,1,1,0,1,0,0,1,0,1,0,14,0,1,1,1,1,0,0,0,1,0,0.6,E073,3
2,69,38,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,1,0,0,1,0,0,0.5,E046,1
3,58,6,0,1,1,0,0,0,0,0,0,0,27,0,1,0,0,0,1,0,0,0,1,0.5,E045,1
1,35,14,1,1,1,0,1,0,0,1,0,0,20,0,0,1,0,1,0,1,1,1,0,0.6,E015,3
1,41,32,0,1,1,0,0,0,1,0,1,1,11,0,1,0,0,1,0,0,0,0,0,0.2,E063,1
2,69,33,0,0,1,1,0,0,0,1,0,1,20,0,0,0,0,0,0,0,1,1,0,0.25,E007,1
3,46,30,1,1,0,1,0,0,0,0,0,0,21,0,1,0,0,0,1,0,0,0,1,0.33,E072,1
2,22,29,1,0,0,1,1,0,0,0,0,1,6,1,1,0,1,0,0,1,0,0,0,0.5,E057,2
3,58,34,0,1,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,1,1,0,0.25,E095,1
3,11,15,1,0,0,1,0,1,0,0,0,0,22,0,0,0,0,0,1,0,0,0,1,0.33,E075,1
2,62,34,0,0,0,0,0,0,0,1,1,0,45,0,0,1,0,0,1,1,1,1,0,1.0,E008,2
3,36,19,0,1,1,0,1,1,0,0,1,0,28,0,1,0,0,0,0,1,0,0,0,0.2,E052,1
2,16,27,0,0,0,0,1,1,0,0,1,0,28,1,0,0,0,0,1,1,1,0,0,0.33,E066,1
3,61,18,0,1,1,0,1,1,0,0,1,0,16,1,1,0,0,0,1,0,1,0,0,0.4,E013,2
2,33,14,0,1,1,0,0,0,1,1,1,0,50,1,1,0,0,0,0,0,0,0,0,0.2,E086,1
1,64,18,0,0,0,0,1,0,0,1,1,0,23,1,0,1,0,1,0,1,1,0,0,0.67,E004,2
1,59,34,1,0,0,1,0,0,0,0,0,0,29,1,1,0,0,1,0,0,0,0,1,0.5,E072,1
1,59,39,0,1,0,0,1,0,1,0,0,1,22,0,1,1,0,0,1,1,1,0,0,0.5,E013,2
3,24,30,0,0,1,1,1,0,1,0,0,1,6,1,0,0,0,1,0,0,1,0,1,0.4,E096,2
1,21,27,0,0,0,1,0,0,0,1,0,0,17,1,1,0,0,1,0,0,1,0,0,0.5,E051,1
3,37,23,1,0,0,0,1,1,1,0,1,0,19,1,0,1,1,0,0,0,0,0,1,0.2,E030,1
2,36,29,0,0,1,1,0,0,1,0,0,1,42,0,0,1,0,0,0,0,0,0,1,0.5,E049,2
1,32,40,0,1,0,1,0,0,1,1,0,0,38,0,0,1,1,1,0,0,1,1,0,0.5,E084,2
2,62,38,1,0,0,0,1,0,0,1,1,0,16,1,1,1,0,1,0,0,0,1,0,0.75,E031,3
2,21,22,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0.67,E027,2
1,4,27,1,0,0,0,0,1,0,1,0,0,34,0,1,0,0,0,1,0,0,0,0,0.33,E043,1
1,64,10,0,0,0,0,1,1,0,0,0,1,28,0,0,0,0,0,0,0,0,1,1,0.33,E076,1
3,9,31,0,1,0,0,0,1,0,0,0,0,38,0,1,0,0,0,0,1,1,1,1,0.5,E003,1
3,19,36,0,0,0,1,1,1,1,0,0,0,42,0,0,1,1,0,0,0,0,1,0,0.25,E053,1
2,20,17,0,0,0,0,0,1,1,0,1,0,37,0,0,0,0,0,0,1,1,1,0,0.67,E003,2
3,50,15,0,0,1,0,1,0,0,1,1,1,24,0,0,1,0,1,0,0,1,0,0,0.6,E007,3
3,51,35,0,1,1,1,0,0,0,0,1,1,12,0,1,1,1,0,0,1,0,0,1,0.8,E074,4
2,41,23,1,1,0,0,0,0,1,0,1,1,20,1,0,0,1,0,0,1,0,0,0,0.4,E057,2
1,32,28,0,1,1,0,0,0,0,1,1,1,46,0,1,1,0,1,0,1,0,1,0,0.6,E024,3
1,12,14,1,1,0,0,0,1,1,1,0,0,50,1,0,0,1,0,0,0,1,1,1,0.4,E084,2
2,19,13,0,1,1,0,0,0,1,0,1,1,25,0,1,0,1,0,0,0,0,0,0,0.2,E087,1
3,56,12,1,1,0,0,0,1,0,0,1,0,13,1,0,0,1,0,0,0,0,0,0,0.25,E072,1
1,38,16,0,1,0,0,0,0,1,0,0,0,30,1,1,1,0,0,1,1,0,0,0,1.0,E079,2
1,9,16,0,0,1,0,1,1,1,0,0,0,9,0,0,0,0,0,0,1,0,1,0,0.25,E004,1
2,72,37,0,0,1,1,0,0,0,1,0,0,31,0,1,1,0,0,1,1,1,0,0,0.67,E042,2
1,18,5,0,0,0,0,0,0,1,1,0,0,45,1,0,0,0,1,1,1,0,0,0,0.5,E030,1
1,17,9,1,1,0,0,1,1,0,1,0,0,10,1,1,0,0,0,0,0,1,0,0,0.6,E079,3
3,5,24,0,0,1,1,0,0,0,0,0,1,37,0,1,0,1,0,1,0,1,0,0,0.33,E028,1
3,71,6,1,0,0,0,0,1,1,0,0,1,35,0,0,0,1,1,1,0,0,0,1,0.5,E008,2
3,16,22,1,0,1,1,0,0,1,1,0,0,37,0,0,0,1,0,0,1,1,0,0,0.6,E061,3
1,60,19,1,1,1,1,0,0,0,0,1,0,18,0,0,0,1,1,0,0,1,1,1,0.4,E033,2
2,6,6,0,1,1,0,1,0,0,0,1,1,41,1,0,0,0,1,0,1,1,0,1,0.4,E021,2
1,61,13,1,0,0,0,1,0,0,0,0,0,8,0,1,1,0,1,0,1,0,1,0,0.5,E021,1
3,36,16,0,1,0,0,1,0,1,1,0,0,39,0,1,1,1,0,0,1,0,1,0,0.5,E065,2
3,39,29,1,0,0,0,0,1,0,0,0,0,13,0,0,1,0,0,1,0,0,0,0,0.5,E004,1
1,41,11,0,1,0,0,1,1,0,0,0,0,12,0,1,0,1,1,0,0,1,0,1,0.67,E081,2
3,15,36,0,0,1,0,0,0,1,0,0,0,12,0,0,0,0,1,0,1,0,1,0,0.5,E061,1
3,27,7,0,1,0,0,0,1,0,0,1,1,17,0,0,0,1,0,0,0,0,1,0,0.25,E064,1
1,70,18,1,0,0,1,1,1,0,1,0,0,45,0,0,0,0,0,1,1,0,1,0,0.2,E035,1
2,44,13,0,1,1,0,0,1,0,0,1,1,36,0,1,1,0,1,0,0,1,0,0,0.4,E041,2
2,26,24,0,1,0,1,0,0,0,1,1,1,19,0,1,1,0,1,0,0,0,0,0,0.2,E038,1
1,23,36,0,0,0,0,1,0,1,0,0,0,29,0,0,0,1,1,1,0,1,1,0,0.5,E035,1
2,69,14,0,1,1,1,1,0,0,0,0,1,12,0,0,1,1,0,1,1,0,0,0,0.4,E010,2
2,28,37,0,1,0,0,0,1,1,0,0,1,17,1,1,0,0,0,0,0,1,1,1,0.5,E039,2
1,11,20,0,0,0,0,0,1,0,0,1,1,42,0,0,1,0,1,0,0,1,0,1,0.33,E023,1
2,31,11,0,1,0,0,0,0,0,0,1,0,20,0,1,0,0,0,1,0,1,0,1,0.5,E004,1
3,14,25,1,1,0,1,0,0,1,0,1,0,47,1,0,1,0,0,1,0,1,1,0,0.4,E023,2
1,26,13,0,1,0,0,0,1,0,1,0,0,28,1,0,0,1,0,1,0,0,1,1,0.33,E025,1
1,33,20,0,1,1,0,0,0,1,1,1,0,46,1,0,1,0,1,0,1,1,0,0,0.6,E011,3
3,38,26,0,1,0,1,0,0,1,0,1,0,7,0,1,0,1,0,1,0,1,1,0,0.75,E007,3
3,15,24,0,0,1,0,0,1,0,1,1,0,12,1,0,0,0,0,0,1,0,1,1,0.25,E063,1
3,23,10,1,0,1,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0.5,E064,1
3,32,21,0,0,0,0,1,0,0,0,1,1,16,1,0,0,0,1,1,0,0,0,0,0.33,E008,1
3,65,22,0,1,0,0,1,1,0,0,1,0,24,0,1,0,1,1,0,1,0,0,1,0.5,E098,2
3,36,39,0,0,0,1,0,1,1,1,0,0,12,0,0,0,0,1,1,0,1,1,0,0.5,E081,2
2,62,30,0,1,1,1,0,0,0,0,1,0,30,0,1,1,0,0,1,0,1,0,1,0.5,E018,2
3,54,25,0,0,1,0,1,0,0,0,1,0,13,0,1,1,0,1,1,1,0,0,0,0.67,E083,2
3,54,9,0,1,0,1,0,1,0,0,0,1,18,0,1,0,0,1,0,0,0,0,1,0.5,E042,2
3,36,12,1,1,0,0,0,0,0,1,0,1,35,1,1,1,0,0,0,0,1,0,0,0.75,E054,3
1,31,20,0,1,1,1,0,0,0,0,1,0,8,1,0,0,1,0,0,1,1,1,0,0.5,E043,2
2,32,22,1,0,0,1,0,1,0,0,0,0,11,0,0,0,0,0,1,0,1,1,1,0.33,E074,1
3,64,9,0,1,0,0,0,1,0,1,0,1,45,0,0,0,0,0,0,0,1,0,1,0.5,E014,2
3,46,28,0,1,0,1,1,1,1,0,0,0,24,0,1,0,0,0,1,0,0,1,0,0.4,E027,2
2,38,29,1,0,0,0,0,1,0,1,1,1,28,0,0,0,0,0,1,0,0,0,1,0.4,E025,2
3,56,40,0,0,1,0,0,0,1,1,0,1,46,0,0,1,0,0,1,1,1,0,0,0.75,E094,3
1,59,6,1,1,1,0,0,1,0,1,0,0,20,0,0,0,1,0,1,0,0,0,1,0.2,E073,1
2,58,30,0,0,0,0,0,0,1,0,1,0,38,1,0,0,0,0,0,0,1,1,0,0.5,E027,1
1,68,24,0,1,0,1,0,0,1,1,1,0,5,0,0,0,0,0,0,0,1,1,0,0.4,E036,2
1,39,15,0,0,1,0,1,1,1,0,0,0,48,1,0,0,0,0,1,1,0,0,0,0.5,E008,2
3,9,24,1,0,0,0,0,1,0,0,0,0,31,1,1,0,1,0,0,1,0,0,0,0.5,E020,1
1,33,23,1,1,0,0,0,1,0,0,1,1,49,0,0,1,0,0,0,1,0,1,0,0.2,E027,1
3,62,5,0,0,1,1,1,0,1,1,0,0,8,0,0,1,1,0,1,0,0,0,1,0.4,E030,2
2,12,28,1,0,0,1,1,0,0,0,1,0,50,0,1,1,0,0,0,0,1,1,0,0.25,E077,1
2,44,19,0,1,1,0,0,0,0,0,0,1,9,0,0,0,0,0,1,0,0,0,1,0.33,E012,1
1,28,34,1,0,0,1,0,1,0,0,1,1,41,0,0,0,0,0,1,1,1,0,0,0.2,E042,1
2,12,5,1,1,0,0,0,1,1,1,0,0,33,1,1,0,0,0,0,0,0,1,0,0.4,E018,2
1,12,17,1,1,0,1,1,0,0,0,1,0,40,0,1,0,0,1,1,0,0,1,0,0.6,E017,3
1,19,12,1,0,1,0,0,1,1,0,1,0,50,0,0,0,0,0,1,0,0,1,0,0.4,E056,2
2,30,7,1,1,0,1,0,1,0,0,1,0,2,0,1,0,1,0,0,1,1,0,1,0.4,E001,2
1,35,22,0,1,1,0,1,0,0,1,1,0,8,1,1,0,1,1,1,0,0,0,0,0.4,E082,2
1,52,20,1,0,0,0,1,0,1,1,0,1,48,1,0,0,1,0,0,1,1,1,0,0.6,E027,3
3,52,21,0,0,1,0,1,1,0,0,1,0,32,0,1,0,0,1,0,0,0,1,0,0.5,E052,2
2,69,16,1,1,0,0,0,1,0,1,1,0,11,1,0,0,0,0,1,0,1,0,1,0.6,E071,3
1,18,28,0,1,1,0,0,0,0,0,0,1,44,1,1,1,0,1,0,0,0,1,0,0.67,E035,2
3,19,38,0,0,0,1,1,0,1,1,0,1,34,1,1,1,1,0,0,0,0,0,1,0.4,E005,2
1,9,31,1,0,0,1,0,1,1,0,0,0,17,0,0,0,0,0,1,0,0,0,1,0.25,E068,1
2,32,34,1,0,1,0,0,1,0,1,0,0,50,1,0,0,0,1,1,0,0,0,1,0.5,E091,2
1,39,30,1,0,0,0,1,0,1,0,0,1,25,1,1,1,1,0,0,1,0,0,0,0.5,E066,2
3,31,25,0,0,0,1,0,0,0,1,1,0,13,0,0,1,1,1,0,0,0,0,0,0.33,E061,1
2,61,17,0,0,1,1,1,0,1,1,0,0,43,0,1,1,0,0,0,0,0,1,1,0.2,E088,1
3,56,12,0,1,1,1,0,0,1,0,0,1,39,0,1,0,0,0,0,1,1,0,1,0.6,E090,3
3,56,29,1,0,0,0,0,1,1,0,0,0,28,1,0,1,0,0,0,0,0,1,0,0.33,E095,1
3,19,6,0,1,0,1,0,0,0,0,1,1,50,0,0,0,0,1,1,0,0,0,1,0.25,E071,1
3,53,39,0,0,1,1,0,0,0,1,1,1,36,1,0,1,0,1,0,0,0,0,1,0.4,E005,2
3,48,40,0,0,1,1,0,1,1,1,0,0,24,0,1,0,1,0,1,1,0,1,0,0.6,E003,3
1,29,13,0,1,0,0,0,0,1,0,0,0,7,1,0,0,1,1,0,1,0,1,0,0.5,E006,1
3,43,26,0,0,1,0,1,1,0,0,0,1,29,1,0,1,1,0,0,1,1,0,0,0.25,E041,1
2,70,32,0,0,1,0,0,0,1,0,0,0,28,1,0,0,0,0,1,1,0,1,1,0.5,E088,1
1,34,8,1,0,0,0,1,0,1,1,0,0,48,0,1,0,0,0,1,1,0,0,0,0.25,E004,1
2,57,16,0,1,0,0,0,1,0,1,1,0,29,1,0,1,0,1,0,1,0,1,0,0.25,E095,1
2,67,18,0,0,1,0,1,0,0,1,1,0,15,0,1,0,0,1,1,0,0,1,1,0.5,E011,2
1,37,35,0,0,1,0,0,0,1,1,0,0,20,1,0,1,1,0,0,0,0,0,0,0.33,E042,1
3,5,17,1,0,0,1,1,1,0,0,0,1,14,1,1,0,0,1,0,1,0,0,0,0.4,E068,2
2,57,26,0,0,0,1,1,0,0,1,0,0,37,0,0,1,0,1,0,0,0,1,0,0.33,E012,1
2,41,6,0,0,0,1,0,1,0,1,1,0,9,1,0,1,0,0,1,0,0,1,1,0.5,E072,2
1,22,21,0,1,0,0,0,0,0,0,1,0,23,0,0,1,0,0,0,0,0,1,1,0.5,E008,1
3,46,7,0,1,1,0,0,0,0,1,0,0,11,0,1,1,0,1,1,0,0,1,0,0.67,E019,2
2,43,35,0,0,1,1,0,1,0,1,1,0,44,0,0,0,1,0,1,1,1,1,0,0.8,E075,4
2,47,18,0,0,0,0,1,1,1,0,1,0,28,0,0,0,0,1,0,0,0,0,1,0.25,E000,1
1,60,26,0,1,0,0,1,1,1,0,0,1,39,0,0,0,0,0,1,1,1,1,1,0.6,E083,3
3,37,17,1,0,1,0,0,1,1,1,0,0,12,0,1,0,0,0,1,0,0,0,1,0.2,E078,1
2,46,10,0,1,0,0,1,0,1,0,0,1,41,1,0,1,1,0,0,0,0,0,1,0.25,E004,1
3,15,32,1,0,0,1,0,0,0,0,1,0,44,1,1,1,0,0,0,1,1,0,0,0.33,E058,1
2,66,38,1,0,1,1,0,0,0,0,1,0,19,0,0,1,0,0,1,0,1,0,1,0.25,E044,1
1,47,38,1,0,1,0,0,1,0,1,1,0,40,1,0,1,0,0,1,0,1,0,0,0.8,E027,4
2,53,28,0,1,0,1,0,0,0,0,0,0,26,1,1,1,1,0,1,0,0,0,0,1.0,E033,2
1,45,19,0,0,1,1,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,1,0,0.25,E088,1
3,26,7,0,0,1,1,1,0,0,0,0,1,25,0,0,1,1,1,1,0,0,0,1,1.0,E073,4
1,71,39,0,1,0,0,1,0,0,0,1,0,10,0,0,0,1,1,0,0,0,0,1,0.33,E091,1
3,67,21,0,1,0,1,0,0,0,0,0,0,38,0,1,0,1,0,1,0,1,1,0,1.0,E035,2
1,55,22,1,0,1,1,0,0,0,0,1,1,38,0,0,0,0,1,0,0,0,1,0,0.2,E091,1
3,67,8,0,1,1,0,1,0,0,1,1,0,11,0,0,0,1,1,1,0,0,0,0,0.2,E058,1
1,47,27,1,1,1,0,0,0,0,0,0,1,23,0,1,0,1,0,1,0,1,1,0,0.25,E068,1
3,59,29,1,0,0,0,0,1,0,0,1,0,28,0,1,0,1,0,0,0,1,1,0,0.33,E001,1
2,47,37,0,0,0,1,0,0,1,0,1,0,29,0,0,1,1,0,0,1,1,0,0,0.67,E024,2
2,23,36,0,0,0,1,1,1,1,0,1,0,30,0,0,1,0,1,0,1,0,1,1,0.6,E029,3
2,46,30,0,0,1,0,0,0,1,1,0,0,42,0,0,0,0,0,0,1,0,0,1,0.33,E063,1
1,33,25,0,1,0,1,0,0,1,1,0,1,41,0,0,1,1,1,0,0,0,0,0,0.2,E098,1
3,66,18,0,1,1,0,0,0,0,1,1,1,13,0,0,1,0,0,0,0,0,1,0,0.4,E071,2
3,25,11,0,0,0,0,0,0,0,0,1,1,36,0,0,1,0,0,1,1,1,0,1,0.5,E077,1
1,59,17,0,1,1,0,1,0,1,0,1,0,39,1,0,1,0,0,0,0,0,0,0,0.2,E058,1
3,49,14,0,0,0,1,1,1,0,0,0,1,41,0,1,0,1,1,0,0,0,0,0,0.5,E060,2
2,29,23,0,0,0,0,0,0,0,1,1,0,5,1,0,1,0,0,0,1,1,0,1,0.5,E000,1
2,49,39,1,1,0,0,0,1,1,1,0,0,3,0,1,1,0,0,1,0,0,0,0,0.4,E097,2
3,59,24,0,1,1,0,0,0,0,1,1,1,18,0,0,0,0,0,0,1,0,1,1,0.4,E071,2
1,26,28,1,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0.5,E097,1
3,37,38,0,0,0,1,0,0,1,1,0,1,29,1,0,0,0,0,0,1,1,0,0,0.5,E084,2
2,53,7,0,1,1,0,1,1,0,1,0,0,21,0,0,0,0,0,1,0,1,0,0,0.4,E063,2
3,34,38,0,1,0,0,0,0,0,1,1,1,45,1,0,0,0,1,0,0,1,0,0,0.25,E001,1
2,6,31,0,1,0,1,0,1,1,1,0,0,45,1,0,0,0,0,1,1,1,0,1,0.6,E005,3
3,6,30,0,0,0,0,0,1,1,0,0,1,14,0,1,1,0,0,0,1,0,1,1,0.67,E044,2
3,4,16,0,0,0,0,1,1,1,0,0,1,47,0,0,0,0,1,0,0,0,0,1,0.5,E048,2
1,66,16,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0.33,E049,1
1,38,11,0,0,0,0,1,1,1,1,0,0,26,1,0,1,0,0,1,0,0,0,0,0.25,E069,1
2,56,13,0,1,1,0,1,1,0,1,0,0,24,0,0,0,0,0,1,1,1,0,1,0.4,E065,2
2,33,12,0,0,0,1,0,0,0,1,0,1,16,0,1,0,1,0,0,0,0,0,0,0.33,E019,1
2,69,35,1,1,1,0,0,0,1,0,1,0,32,0,1,1,0,1,1,0,0,0,1,0.4,E064,2
2,18,20,0,0,0,0,1,0,0,0,1,1,12,0,0,1,0,0,1,0,0,1,1,0.67,E080,2
2,31,22,0,1,0,0,1,0,0,0,0,0,31,1,0,0,0,1,0,1,0,0,0,0.5,E055,1
1,11,39,1,0,0,1,0,0,1,0,0,1,41,0,0,1,1,0,0,0,1,0,1,0.5,E083,2
2,8,40,0,0,1,0,0,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,1,0.5,E050,1
1,15,10,0,0,0,0,1,0,1,0,1,1,30,1,0,1,0,0,0,1,0,0,0,0.25,E066,1
2,45,40,0,0,0,0,0,1,1,0,1,1,48,0,0,1,0,0,0,1,0,0,0,0.25,E037,1
3,25,32,0,0,0,1,0,1,0,0,1,0,24,1,0,0,1,1,0,0,0,0,1,0.33,E005,1
2,46,36,1,0,1,1,1,0,0,0,0,1,6,1,1,0,1,0,0,0,1,0,1,0.6,E000,3
3,66,26,0,1,0,1,1,1,0,0,0,0,30,0,0,0,0,1,0,0,1,1,0,0.25,E084,1
3,39,6,0,0,0,0,0,1,0,0,1,0,27,0,0,1,0,0,1,0,0,0,0,0.5,E064,1
1,20,40,0,1,0,0,1,0,1,0,0,0,49,0,1,0,0,0,1,1,0,1,0,0.67,E015,2
3,18,29,1,0,0,0,0,0,1,0,1,0,29,0,1,1,0,1,1,1,0,0,0,0.33,E016,1
2,58,25,0,0,0,0,0,1,1,0,1,1,31,1,0,1,0,0,1,0,0,1,1,0.75,E028,3
1,58,38,0,1,1,0,0,0,0,1,0,0,24,1,0,1,1,0,0,0,1,0,0,0.67,E026,2
3,27,11,1,1,0,0,1,0,0,0,0,0,36,1,1,1,0,1,0,0,1,0,0,1.0,E097,3
2,46,40,0,0,1,0,0,0,1,0,1,0,4,0,1,1,0,0,1,0,1,0,0,0.33,E034,1
3,26,35,1,0,1,0,0,0,0,0,0,0,14,0,0,1,0,1,1,0,0,0,1,0.5,E096,1
3,36,35,1,0,1,0,0,0,1,1,0,0,13,0,1,0,0,0,0,0,1,1,0,0.25,E001,1
2,69,33,1,1,1,1,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,1,0.4,E098,2
1,10,18,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,1,0,0.33,E009,1
1,65,10,1,0,1,0,0,1,0,0,1,1,23,0,1,0,0,1,0,0,0,1,0,0.2,E035,1
3,62,17,0,1,1,1,0,1,0,0,1,0,22,0,0,1,0,0,1,0,0,1,1,0.6,E024,3
